""	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"
"X37c"	0.54853278851406	-0.125919022159969	-0.0795666478583667	0.00342457269957546	-0.0733297017659455	0.0212885197402525
"X39a"	0.396517944085803	-0.232468371068183	8.14245340466452e-05	0.0319522923415823	-0.212546193828036	-0.0649054821397579
"X39b"	0.422448293090347	-0.305461523661448	0.0625360926433975	-0.0141561438650734	-0.22788097195506	-0.094278026975929
"X39c"	0.386069208689809	-0.275205125280728	0.0382192489996453	-0.0524311433080876	-0.306481739146902	-0.106596557279101
"X43a"	0.561528300925589	-0.0665664854258788	-0.104684069702768	0.0601743063651218	0.104169979749492	0.0322926768531486
"X43b"	0.340217318891963	-0.14914703193763	0.150466324719227	-0.103379149673844	-0.246905588374504	-0.248198568695586
"X43c"	0.371093381935422	-0.181181647172165	0.120829339322331	-0.0754865493368588	-0.251974716134993	-0.225637494294839
"X43d"	0.347672994242144	-0.219818556630593	-0.0158305695085675	-0.138203642725028	-0.138590306075967	-0.190398696761202
"X43e"	0.25450174165821	-0.235068536263098	0.052221065554431	-0.201135324572777	-0.179179912740467	-0.293052732483207
"X43f"	0.328343000110794	-0.240052012186412	0.0416853220557847	-0.124766085951219	-0.0711009425989767	-0.246631206071846
"X47a"	0.585680261942161	-0.104736505634518	-0.0774499997336663	0.0877919025150448	0.123789603668834	-0.0189563508429816
"X47b"	0.584266301689661	-0.184546234322101	-0.0738846435518179	0.100093602782405	-0.0248065211652243	-0.000249712108432013
