Sample ID	a1	A1	a2	A2	a3	A3	a4	a5	a6	b1	B1	b2	B2	b3	B3	b4	b5	b6	c1	C1	c2	C2	c3	C3	c4	c5	c6	ck1	CK1	ck2	CK2	ck3	CK3	ck4	CK4	ck5	CK5	ck6	CK6	d1	D1	d2	D2	d3	D3	d4	d5	d6
Uniq2878	0	6	0	5	0	8	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	8	0	3	0	2	0	2	0	2	0	0	0	0	0	0	0	0	0
Uniq3152	0	5	0	3	0	9	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	4	0	2	0	2	0	0	0	0	0	0	0	0	0
Uniq4238	0	0	0	0	1	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uniq1936	0	3	0	2	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	2	0	1	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Uniq34	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	60	32	49	53	55	31	44	43	59	0	0	0	0	0	0	0	0	0	0	0	0	45	45	55	52	57	45	64	68	34
Uniq2212	0	3	0	3	0	5	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	2	0	2	0	0	0	0	0	0	0	0	0
Uniq3486	0	1	0	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Uniq1608	0	4	0	11	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uniq1926	0	3	0	10	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uniq15	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	57	78	90	77	59	67	71	90	0	0	0	0	0	0	0	0	0	0	0	0	73	82	87	91	88	81	97	92	45
Uniq2338	0	4	0	6	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	11	0	5	0	3	0	1	0	1	0	1	0	0	0	0	0	0	0
Uniq3864	0	9	0	6	0	10	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	8	0	4	0	3	0	2	0	2	0	0	0	0	0	1	0	0	0
Uniq550	0	1	0	3	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	1	0	1	0	0	0	0	2	0	1	0	3	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
Uniq1816	0	9	0	6	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Uniq3218	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uniq2481	0	2	0	9	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	4	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Uniq2200	0	4	0	1	0	6	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0
Uniq3492	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uniq1587	0	3	0	2	0	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	2	0	1	0	5	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Uniq18	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	51	72	82	64	55	54	56	69	0	0	0	0	0	0	0	0	0	0	0	0	56	77	72	82	70	73	82	79	42
Uniq3347	0	1	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	2	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0
Uniq3266	0	1	1	3	0	2	0	0	5	0	4	0	1	0	16	0	0	1	0	5	0	3	0	1	0	0	0	0	4	0	1	0	8	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Uniq2109	0	3	0	7	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Uniq2729	0	3	0	3	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	2	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0
Uniq309	0	2	0	4	0	2	0	0	0	0	3	0	1	0	3	0	0	0	0	3	0	1	0	1	0	0	0	0	4	0	3	0	4	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0
Uniq3306	0	3	0	1	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0
Uniq2361	0	8	0	4	0	7	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	4	0	3	0	2	0	0	0	0	0	1	0	0	0
Uniq3561	0	6	0	6	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Uniq1757	0	4	0	8	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uniq3771	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uniq2110	0	4	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Uniq1958	0	5	0	14	0	9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	5	0	3	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0
Uniq4505	0	2	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uniq542	0	1	0	1	0	2	0	0	0	0	2	0	0	0	2	0	0	0	0	2	0	1	0	1	0	0	0	0	3	0	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Uniq2169	0	4	0	5	0	5	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0
Uniq887	0	3	0	5	0	4	0	0	0	0	3	0	4	0	8	0	0	0	0	3	0	1	0	6	0	0	0	0	14	0	51	0	13	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0
Uniq3612	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uniq2600	0	1	0	9	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uniq2080	0	6	0	12	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Uniq642	0	14	0	11	0	21	0	0	0	0	3	0	0	0	4	0	0	0	0	1	0	0	0	1	0	0	0	0	12	0	15	0	11	0	7	0	5	0	4	0	1	0	1	0	1	0	0	0
Uniq3324	0	3	0	7	0	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uniq2963	0	2	0	2	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0
Uniq2484	0	4	0	5	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	7	0	5	0	2	0	2	0	2	0	0	0	0	0	1	0	0	0
Uniq27	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	31	36	26	48	32	34	27	28	32	0	0	0	0	0	0	0	0	0	0	0	0	31	39	32	50	32	47	33	36	19
Uniq9	0	4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	69	63	64	103	65	66	52	54	66	0	0	0	0	0	0	0	0	0	0	0	0	55	92	71	97	61	85	85	71	41
Uniq3930	0	2	0	3	0	3	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Uniq2516	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Uniq497	0	9	0	4	0	5	0	0	0	0	4	0	8	0	5	0	0	0	0	1	0	3	0	14	0	0	0	0	5	0	4	0	17	0	5	0	2	0	8	0	1	0	1	0	0	0	0	0
Uniq3802	0	1	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Uniq543	0	0	0	0	0	0	0	0	0	0	11	0	59	0	9	0	0	0	0	18	0	6	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uniq1160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uniq3740	0	2	0	3	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	5	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
Uniq892	0	4	0	4	0	2	0	0	0	0	3	0	5	0	3	0	0	0	0	1	0	1	0	8	0	0	0	0	5	0	2	0	9	0	5	0	1	0	5	0	1	0	0	0	0	0	0	0
Uniq43	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	39	32	62	35	44	31	34	37	0	0	0	0	0	0	0	0	0	0	0	0	29	51	36	60	38	48	39	39	18
Uniq844	0	4	0	2	0	2	0	0	0	0	3	0	5	0	3	0	0	0	0	1	0	2	0	8	0	0	0	0	3	0	3	0	8	0	2	0	1	0	4	0	1	0	0	0	0	0	0	0
Uniq1904	0	2	0	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Uniq3234	0	4	0	4	0	4	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	6	0	2	0	2	0	1	0	1	0	1	0	0	0	0	0	0	0
