OTU ID	A1a	A1b	A1c	A2a	A2b	A2c	A3a	A3b	A3c	A4a	A4b	A4c	A5a	A5b	A5c	B1a	B1b	B1c	B2a	B2b	B2c	B3a	B3b	B3c	C1a	C1b	C1c	C2a	C2b	C2c	C3a	C3b	C3c	C4a	C4b	C4c	C5a	C5b	C5c	ck1a	ck1b	ck1c	ck2a	ck2b	ck2c	ck3a	ck3b	ck4a	ck4b	ck4c	ck5a	ck5b	ck5c	D10	D11	D12	D1	D2	D3	D4	D5	D6	D7	D8	D9
OTU201	2	1	1	3	4	2	2	1	1	2	1	2	2	4	2	1	2	0	2	1	0	2	0	2	1	2	1	1	1	1	3	1	2	2	0	1	1	2	4	12	4	5	17	12	18	17	10	22	19	19	8	8	4	4	5	4	6	5	5	5	5	3	6	4	4
OTU3431	25	6	10	10	9	11	18	5	20	15	11	15	12	13	8	1	2	4	0	1	1	4	8	5	1	0	0	0	2	1	0	0	1	1	1	2	1	1	1	3	6	2	9	7	5	5	5	2	3	6	5	4	5	0	0	0	0	0	0	0	0	0	0	0	0
OTU1421	1	0	0	0	0	0	0	1	1	1	1	1	0	1	0	5	3	4	0	1	1	6	4	7	3	4	4	16	17	17	27	25	13	9	13	9	39	22	32	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0
OTU121	1	1	2	1	1	2	6	3	2	5	2	3	2	3	1	13	16	14	11	13	10	12	6	12	2	3	3	12	10	10	6	6	5	6	15	13	11	5	5	0	0	0	2	2	1	3	2	1	0	1	1	1	2	2	1	1	2	2	1	1	2	1	1	1	2
OTU408	23	8	11	4	7	5	5	4	5	3	4	5	9	2	4	1	0	0	0	0	0	1	2	1	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	3	7	8	3	4	4	5	2	3	3	7	3	12	14	8	10	11	8	6	6	6	8	7	9	8	11
OTU2291	9	4	4	5	4	5	6	3	4	8	5	5	4	6	3	1	1	2	1	1	1	8	4	3	0	0	1	1	3	2	0	0	0	0	1	1	1	0	1	1	1	0	0	2	1	2	0	1	0	0	1	1	1	14	13	14	18	11	13	15	12	14	14	14	13
OTU87	19	7	10	7	8	10	17	14	10	17	15	12	11	14	14	6	2	1	1	0	1	10	8	8	0	0	0	1	1	1	2	0	1	1	1	3	1	0	0	0	1	0	0	3	0	3	2	1	0	3	0	2	1	3	3	3	3	1	3	3	3	1	4	3	3
OTU168	5	6	6	2	3	2	7	6	6	3	3	5	7	2	9	5	7	6	3	4	2	23	19	12	2	3	2	5	4	5	2	2	1	2	4	3	1	1	1	1	5	5	5	3	3	5	4	1	2	4	3	3	6	5	3	4	3	2	2	2	4	3	3	4	4
OTU104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	36	30	4	5	6	9	8	7	8	10	10	6	6	3	7	4	8	12	12	10	11	13	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0
OTU645	11	4	9	4	3	4	3	4	3	2	2	3	3	3	6	1	1	1	1	2	0	1	3	3	1	2	1	1	1	1	2	2	0	1	2	1	0	0	1	1	4	4	2	3	3	0	2	1	2	3	2	3	4	14	15	13	14	8	9	8	11	11	13	14	14
OTU158	6	4	4	5	4	3	5	4	4	3	4	4	4	5	4	1	1	1	1	1	0	2	3	3	0	2	1	3	2	5	0	2	1	1	1	1	1	1	0	1	4	1	2	3	2	4	2	1	2	2	3	1	1	12	11	11	13	9	11	11	12	13	12	15	13
OTU111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	41	57	14	12	12	3	0	1	1	1	0	4	6	9	15	18	18	0	0	0	4	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1738	1	1	0	2	4	3	0	0	0	0	0	0	1	2	0	4	4	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	9	6	11	13	16	15	79	22	6	6	5	13	17	8	1	2	2	1	1	0	0	1	1	1	1	2
OTU189	4	10	7	4	5	6	6	8	10	6	12	11	16	7	11	1	1	0	0	1	0	1	4	2	0	0	0	1	1	1	1	0	0	0	0	1	0	0	1	3	9	7	11	7	9	7	6	6	5	9	5	7	9	1	3	3	2	2	2	3	3	1	2	1	3
OTU1594	4	7	3	5	5	5	7	7	5	6	5	11	9	9	7	1	0	1	0	0	0	3	2	2	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	2	4	2	8	6	7	5	5	5	6	6	5	5	8	6	6	7	7	7	7	4	7	8	9	7	6
OTU535	3	2	2	2	1	2	2	2	2	4	2	4	4	3	1	0	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	2	2	2	1	6	4	1	3	2	3	1	2	3	2	11	15	12	17	14	19	16	16	16	14	18	14
OTU1525	6	6	6	9	10	14	8	8	7	4	7	8	12	10	10	2	0	1	0	1	1	2	2	1	1	0	1	2	1	3	2	1	1	0	1	1	1	0	0	5	4	8	8	10	10	4	11	9	9	7	6	8	9	0	1	0	0	0	0	1	0	1	0	0	0
OTU1414	3	5	7	6	4	5	5	6	6	3	5	6	11	6	6	1	0	0	1	0	0	1	2	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	5	4	1	3	4	2	4	1	3	6	3	8	5	10	10	14	10	5	8	6	11	11	11	9	10
OTU197	4	11	8	5	9	10	4	10	11	5	7	11	13	6	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	2	6	8	5	6	7	3	4	5	5	5	3	5	8	4	4	6	6	5	5	4	4	7	6	5	6
OTU185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	78	69	82	2	2	2	6	4	3	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU163	4	12	10	5	4	8	7	8	5	2	2	4	1	1	2	8	7	4	4	7	6	11	9	10	4	4	5	9	11	7	1	3	4	4	6	7	4	4	3	1	1	0	4	1	3	0	0	1	1	1	0	0	1	2	3	2	2	3	2	2	2	3	2	3	2
OTU148	4	8	6	4	7	8	7	10	7	7	8	6	8	5	9	1	2	1	0	0	0	2	3	3	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	3	4	2	10	7	4	4	7	8	9	7	6	6	7	5	5	7	3	4	5	4	5	3	3	4	4
OTU170	2	3	2	1	2	1	3	3	2	3	5	3	2	4	3	4	4	4	2	4	3	5	6	3	4	4	4	4	5	4	24	24	18	10	17	14	8	3	3	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	4	2	4	2	4	2	3	4	4	2	2
OTU136	9	5	6	7	6	8	7	5	10	11	5	10	8	8	6	1	1	1	1	0	0	1	0	1	0	0	0	1	1	2	0	0	0	0	2	2	1	1	0	5	6	1	10	6	10	17	9	6	6	5	6	5	4	2	2	2	4	4	3	2	2	3	3	3	3
OTU374	6	3	5	7	8	8	8	7	8	3	4	4	11	10	6	1	1	0	0	0	0	1	2	5	0	1	1	2	1	0	1	1	0	0	1	1	0	0	0	6	7	14	11	11	8	5	8	5	8	6	7	8	6	3	2	2	2	2	2	3	2	2	3	3	2
OTU316	9	8	10	6	7	5	10	9	13	12	10	12	6	8	7	2	1	2	1	0	1	0	2	1	0	0	0	0	1	0	1	1	0	1	1	0	1	0	0	2	3	2	7	9	7	9	4	1	4	2	6	3	5	4	3	3	3	4	3	3	4	3	4	3	5
OTU140	3	7	7	6	5	7	6	7	4	8	6	4	7	6	11	1	1	1	0	1	0	2	5	3	1	1	0	1	1	2	0	1	0	1	1	0	0	0	0	2	4	3	3	2	2	6	5	4	2	2	3	2	2	9	7	7	8	9	7	8	9	7	9	6	8
OTU127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	5	20	17	16	13	8	9	2	9	4	0	1	1	33	35	47	3	2	3	2	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU176	2	2	4	2	3	6	4	6	4	3	4	6	7	5	5	1	3	1	0	1	0	2	3	4	1	1	0	1	1	1	5	2	1	0	1	0	0	0	0	4	6	4	10	9	4	8	7	9	9	7	6	8	5	6	5	5	5	5	5	5	6	7	5	5	4
OTU108	4	3	4	2	1	2	5	7	5	6	7	7	3	3	2	2	3	2	3	1	3	11	8	6	1	3	2	4	3	3	2	1	2	1	4	2	1	1	1	4	3	5	13	7	7	14	4	6	4	2	4	2	4	3	1	2	4	3	4	3	3	4	3	4	3
OTU263	1	3	3	3	4	3	3	3	4	3	3	6	5	4	8	2	3	6	10	12	10	9	7	8	2	1	1	6	6	3	3	1	1	3	4	4	2	1	0	2	2	1	4	6	1	6	3	3	2	2	2	4	4	3	3	4	4	3	4	4	5	3	4	3	3
OTU3180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	22	24	21	25	24	18	19	19	18	14	16
OTU200	0	1	0	0	1	0	0	0	1	0	0	1	2	4	1	9	8	9	5	10	8	2	2	1	20	16	16	6	6	5	6	9	6	15	17	18	4	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	2	2	1	2	1	2	1	1
OTU219	9	7	8	7	8	7	8	7	8	14	8	16	12	12	10	1	1	1	0	1	0	4	3	3	0	1	0	1	1	2	0	0	0	0	1	1	0	0	0	1	2	1	1	2	1	1	1	1	0	1	1	1	2	5	4	6	6	4	3	4	6	6	5	5	7
OTU100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	10	7	8	13	15	0	7	5	5	4	4	8	10	5	18	15	6	13	21	25	11	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1999	5	5	3	3	4	2	4	3	3	3	4	4	7	5	5	1	1	0	0	0	0	3	2	2	1	0	1	1	3	1	1	0	0	0	0	0	0	0	0	1	4	3	4	4	4	3	5	3	2	1	3	2	2	9	11	9	10	9	8	9	13	9	11	10	10
OTU318	1	2	3	8	5	5	4	5	5	4	4	3	4	4	4	3	2	2	1	4	2	5	6	5	3	0	1	3	4	2	6	9	4	3	7	4	2	2	1	0	0	1	2	1	1	4	1	0	0	1	0	2	2	7	7	10	7	7	5	7	4	8	8	5	4
OTU257	20	5	9	2	2	5	3	4	3	3	2	6	6	3	4	0	1	1	0	0	0	1	2	2	0	0	0	1	1	2	0	0	0	0	0	0	0	1	0	1	3	5	4	3	1	3	3	3	0	1	1	3	4	10	11	11	7	6	6	7	11	9	11	9	13
OTU161	1	2	2	2	2	2	2	3	1	1	2	3	1	1	0	8	6	3	5	4	5	6	5	4	2	1	1	8	5	4	4	3	7	8	12	11	3	3	3	2	2	3	5	4	5	8	5	3	3	0	3	3	2	2	3	2	3	3	5	4	3	3	4	3	3
OTU429	5	7	6	7	6	8	5	6	7	8	6	8	11	4	8	1	0	1	0	1	1	0	2	2	0	0	0	1	1	1	0	2	0	0	0	0	0	0	0	2	5	3	0	4	3	2	3	1	1	1	3	1	3	6	6	6	8	6	8	6	8	8	6	7	9
OTU212	3	5	6	2	3	9	6	8	5	7	8	6	5	3	8	1	1	0	0	0	1	0	3	2	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	2	6	13	8	6	5	5	6	9	8	12	3	5	5	4	3	4	3	4	3	3	4	3	4	4	3
